,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　　 （単位：10億円）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(billion yen),,
,  商  業  計,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,　参 考 ,  参 考 １,　参 考 ２,,
,, 卸 売 業 計,,,,,,,,,,,,,,,,, 小 売 業 計,,,,,,,,,,(医薬品化粧品小売業、その他小売業の計),(自動車小売業､機械器具小売業、燃料小売業、、医薬品化粧品小売業、その他小売業の計),(燃料小売業、医薬品化粧品小売業、その他小売業の計),   Year,
,,,  各種商品, 繊  維  品,衣服･身の回り品,農畜産物･水産物,食料･飲料,  建築材料,  化学製品,鉱物･金属材料,機 械 器 具 卸 売 業,,　,　,　,家具･建具･じゅう器,医薬品･化粧品,  その他の,,  各種商品,織物･衣服･身の回り品,  飲食料品,  自 動 車,  機械器具,  燃    料,医薬品・化粧品,  そ の 他,　無 店 舗,,,,   and,
 　年  月,　,　,  卸 売 業, 卸  売  業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,　,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,  卸 売 業,  卸 売 業,  卸 売 業,　,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,,,,  Month,
,Total,Wholesale,"General
Merchandise","
Textiles","Apparel
  　    11,"36,950 ","29,542 ","4,721 ",889 ,"1,172 ","3,889 ","2,401 ","1,875 ","1,155 ","4,681 ","5,027 ",…,…,…,…,606 ,825 ,"2,302 ","7,408 ","1,008 ",859 ,"2,213 ",627 ,355 ,…,…,…,…,…,"3,328 ","2,346 ",11月.,
      　12,"42,844 ","33,276 ","5,873 ","1,051 ","1,362 ","4,345 ","2,897 ","1,812 ","1,167 ","5,307 ","5,279 ",…,…,…,…,628 ,963 ,"2,593 ","9,568 ","1,683 ","1,111 ","2,892 ",676 ,430 ,…,…,…,…,…,"3,883 ","2,777 ",12月.,
  1981年1月,"33,364 ","26,539 ","4,743 ",974 ,995 ,"2,995 ","1,974 ","1,512 ","1,060 ","4,547 ","4,353 ",…,…,…,…,462 ,659 ,"2,266 ","6,826 ",911 ,753 ,"2,011 ",514 ,323 ,…,…,…,…,…,"3,151 ","2,314 ",1月.,1981
　　　　 2,"34,265 ","27,603 ","5,088 ",962 ,"1,082 ","2,908 ","2,124 ","1,576 ","1,096 ","4,549 ","4,677 ",…,…,…,…,518 ,753 ,"2,271 ","6,662 ",800 ,649 ,"2,025 ",604 ,294 ,…,…,…,…,…,"3,188 ","2,290 ",2月.,
         3,"44,891 ","36,821 ","10,469 ","1,111 ","1,237 ","3,521 ","2,283 ","1,739 ","1,261 ","5,209 ","5,891 ",…,…,…,…,670 ,822 ,"2,609 ","8,070 ","1,043 ",824 ,"2,357 ",862 ,337 ,…,…,…,…,…,"3,845 ","2,646 ",3月.,
  　     4,"37,170 ","29,316 ","3,732 ","1,108 ","1,286 ","3,384 ","2,624 ","1,754 ","1,260 ","4,614 ","5,382 ",…,…,…,…,661 ,902 ,"2,610 ","7,854 ",983 ,809 ,"2,423 ",758 ,350 ,…,…,…,…,…,"3,639 ","2,531 ",4月.,
  　     5,"37,132 ","29,674 ","5,249 ",921 ,"1,192 ","3,349 ","2,584 ","1,640 ","1,233 ","4,561 ","5,127 ",…,…,…,…,556 ,905 ,"2,356 ","7,458 ",960 ,780 ,"2,352 ",644 ,343 ,…,…,…,…,…,"3,366 ","2,379 ",May,
  　     6,"38,392 ","31,033 ","5,808 ",977 ,"1,077 ","3,438 ","2,621 ","1,770 ","1,226 ","4,908 ","5,388 ",…,…,…,…,546 ,906 ,"2,367 ","7,359 ",939 ,777 ,"2,316 ",666 ,357 ,…,…,…,…,…,"3,327 ","2,304 ",6月.,
  　     7,"39,783 ","31,608 ","5,523 ","1,024 ","1,041 ","3,565 ","2,868 ","1,804 ","1,235 ","5,085 ","5,610 ",…,…,…,…,553 ,930 ,"2,370 ","8,176 ","1,196 ",839 ,"2,424 ",783 ,451 ,…,…,…,…,…,"3,717 ","2,483 ",7月.,
  　     8,"37,225 ","29,888 ","5,414 ",973 ,"1,156 ","3,403 ","2,655 ","1,692 ","1,236 ","4,833 ","4,953 ",…,…,…,…,496 ,836 ,"2,241 ","7,337 ",929 ,706 ,"2,400 ",584 ,342 ,…,…,…,…,…,"3,303 ","2,377 ",8月.,
